Transaction_ID,Date,Customer_ID,Product_SKU,Product_Name,Category,Region,Channel,Payment_Method,Quantity,Unit_Price,Discount_Rate,Revenue
TXN-00353,2024-02-14,CUST-1767,SKU-005,Backpack,Accessories,West,Marketplace,Bank Transfer,1,1099.0,0.0,1099.0
TXN-00690,2024-02-22,CUST-1391,SKU-004,Coffee Maker,Kitchen,North,Marketplace,Credit Card,2,2999.0,,5698.09
TXN-00486,2024-07-22,CUST-2928,SKU-002,Running Shoes,Footwear,West,In-Store,Credit Card,3,1799.0,0.2,4317.6
TXN-00389,2024-05-20,CUST-1920,SKU-004,Coffee Maker,Kitchen,Online,In-Store,PayPal,3,2999.0,0.0,8997.0
TXN-00032,2024-02-08,CUST-2815,SKU-008,Protein Powder,Health,Online,Website,Credit Card,2,599.0,0.2,958.34
TXN-00443,2024-06-10,CUST-4793,SKU-005,Backpack,Accessories,West,In-Store,Debit Card,3,1099.0,0.2,2637.6
TXN-00199,2024-05-26,CUST-1314,SKU-001,Wireless Earbuds,Electronics,North,Marketplace,Bank Transfer,1,1299.0,0.0,1299.0
TXN-00426,2024-09-11,CUST-4903,SKU-003,Yoga Mat,Sports,East,In-Store,PayPal,1,649.0,0.0,649.0
TXN-00108,2024-10-28,CUST-2756,SKU-008,Protein Powder,Health,East,Website,Credit Card,4,599.0,0.0,2396.0
TXN-00715,2024-11-01,CUST-1634,SKU-010,Laptop Stand,Electronics,East,Website,PayPal,4,749.0,0.15,2546.66
TXN-00553,2024-12-16,CUST-4604,SKU-006,Sunglasses,Accessories,South,Marketplace,Bank Transfer,5,799.0,0.0,3995.0
TXN-00676,2024-10-19,CUST-1537,SKU-005,Backpack,Accessories,Online,Mobile App,Credit Card,4,1099.0,0.0,4396.0
TXN-00159,2024-07-02,CUST-1248,SKU-006,Sunglasses,Accessories,West,In-Store,PayPal,5,799.0,0.15,3395.75
TXN-00476,2024-08-12,CUST-4000,SKU-001,Wireless Earbuds,Electronics,West,Mobile App,Bank Transfer,1,1299.0,0.05,1234.04
TXN-00424,14-Feb-2024,CUST-4787,SKU-004,Coffee Maker,Kitchen,West,Website,Bank Transfer,1,2999.0,0.0,2999.0
TXN-00270,2024-07-24,CUST-3048,SKU-004,Coffee Maker,Kitchen,north,Website,Credit Card,5,2999.0,0.1,13495.57
TXN-00618,2024-10-28,CUST-4003,SKU-006,Sunglasses,Accessories,East,Mobile App,Bank Transfer,4,799.0,0.0,3196.0
TXN-00484,2024-08-06,CUST-1358,SKU-001,Wireless Earbuds,Electronics,EAST,Marketplace,PayPal,3,R1299.0,0.0,3897.0
TXN-00885,2024-04-13,CUST-1723,SKU-008,Protein Powder,Health,Online,Website,Bank Transfer,3,599.0,0.15,1527.38
TXN-00651,2024-04-23,CUST-2518,SKU-002,Running Shoes,Footwear,North,Website,Bank Transfer,1,1799.0,0.0,1799.0
TXN-00245,2024-12-15,CUST-4963,SKU-008,Protein Powder,Health,East,In-Store,Credit Card,1,599.0,0.2,479.17
TXN-00848,2024-03-11,CUST-3630,SKU-007,Smart Watch,Electronics,West,Marketplace,Bank Transfer,2,4499.0,0.0,8998.0
TXN-00983,2024-12-10,CUST-4922,SKU-010,Laptop Stand,Electronics,North,Mobile App,Debit Card,2,749.0,0.05,-1423.09
TXN-00829,2024-04-24,CUST-1588,SKU-008,Protein Powder,Health,Online,In-Store,Debit Card,4,599.0,0.0,2396.0
